Country Code,Country,Date,Core_CPI
AUT,Austria,1970-01-01,21.2
CAN,Canada,1970-01-01,17.2
CHE,Switzerland,1970-01-01,32.8
DEU,Germany,1970-01-01,30.1
DNK,Denmark,1970-01-01,13.9
FIN,Finland,1970-01-01,12.1
FRA,France,1970-01-01,15.1
GBR,United Kingdom,1970-01-01,9.0
GRC,Greece,1970-01-01,1.4
ISR,Israel,1970-01-01,0.0
ITA,Italy,1970-01-01,5.4
JPN,Japan,1970-01-01,31.0
LUX,Luxembourg,1970-01-01,19.8
NLD,Netherlands,1970-01-01,21.2
NZL,New Zealand,1970-01-01,6.5
PRT,Portugal,1970-01-01,1.5
SWE,Sweden,1970-01-01,14.3
USA,United States,1970-01-01,16.4
AUT,Austria,1970-04-01,21.4
CAN,Canada,1970-04-01,17.3
CHE,Switzerland,1970-04-01,33.1
DEU,Germany,1970-04-01,30.4
DNK,Denmark,1970-04-01,14.1
FIN,Finland,1970-04-01,12.2
FRA,France,1970-04-01,15.2
GBR,United Kingdom,1970-04-01,9.2
GRC,Greece,1970-04-01,1.5
ISR,Israel,1970-04-01,0.0
ITA,Italy,1970-04-01,5.5
JPN,Japan,1970-04-01,31.6
LUX,Luxembourg,1970-04-01,20.1
NLD,Netherlands,1970-04-01,21.5
NZL,New Zealand,1970-04-01,6.6
PRT,Portugal,1970-04-01,1.5
SWE,Sweden,1970-04-01,14.5
USA,United States,1970-04-01,16.7
AUT,Austria,1970-07-01,21.7
CAN,Canada,1970-07-01,17.4
CHE,Switzerland,1970-07-01,33.5
DEU,Germany,1970-07-01,30.5
DNK,Denmark,1970-07-01,14.5
FIN,Finland,1970-07-01,12.2
FRA,France,1970-07-01,15.4
GBR,United Kingdom,1970-07-01,9.3
GRC,Greece,1970-07-01,1.4
ISR,Israel,1970-07-01,0.0
ITA,Italy,1970-07-01,5.6
JPN,Japan,1970-07-01,31.8
LUX,Luxembourg,1970-07-01,20.2
NLD,Netherlands,1970-07-01,21.8
NZL,New Zealand,1970-07-01,6.7
PRT,Portugal,1970-07-01,1.6
SWE,Sweden,1970-07-01,14.7
USA,United States,1970-07-01,17.0
AUT,Austria,1970-10-01,21.9
CAN,Canada,1970-10-01,17.4
CHE,Switzerland,1970-10-01,34.0
DEU,Germany,1970-10-01,30.8
DNK,Denmark,1970-10-01,14.7
FIN,Finland,1970-10-01,12.3
FRA,France,1970-10-01,15.6
GBR,United Kingdom,1970-10-01,9.5
GRC,Greece,1970-10-01,1.5
ISR,Israel,1970-10-01,0.0
ITA,Italy,1970-10-01,5.7
JPN,Japan,1970-10-01,32.6
LUX,Luxembourg,1970-10-01,20.4
NLD,Netherlands,1970-10-01,22.2
NZL,New Zealand,1970-10-01,7.0
PRT,Portugal,1970-10-01,1.6
SWE,Sweden,1970-10-01,14.9
USA,United States,1970-10-01,17.3
AUT,Austria,1971-01-01,22.2
CAN,Canada,1971-01-01,17.5
CHE,Switzerland,1971-01-01,34.6
DEU,Germany,1971-01-01,31.5
DNK,Denmark,1971-01-01,14.7
FIN,Finland,1971-01-01,12.5
FRA,France,1971-01-01,15.8
GBR,United Kingdom,1971-01-01,9.8
GRC,Greece,1971-01-01,1.5
ISR,Israel,1971-01-01,0.0
ITA,Italy,1971-01-01,5.8
JPN,Japan,1971-01-01,33.1
LUX,Luxembourg,1971-01-01,20.7
NLD,Netherlands,1971-01-01,22.8
NZL,New Zealand,1971-01-01,7.2
PRT,Portugal,1971-01-01,1.7
SWE,Sweden,1971-01-01,15.4
USA,United States,1971-01-01,17.4
AUS,Australia,1971-04-01,9.7
AUT,Austria,1971-04-01,22.5
CAN,Canada,1971-04-01,17.7
CHE,Switzerland,1971-04-01,35.2
DEU,Germany,1971-04-01,32.0
DNK,Denmark,1971-04-01,15.0
FIN,Finland,1971-04-01,12.8
FRA,France,1971-04-01,16.0
GBR,United Kingdom,1971-04-01,10.1
GRC,Greece,1971-04-01,1.5
ISR,Israel,1971-04-01,0.0
ITA,Italy,1971-04-01,5.8
JPN,Japan,1971-04-01,33.9
LUX,Luxembourg,1971-04-01,21.0
NLD,Netherlands,1971-04-01,23.4
NZL,New Zealand,1971-04-01,7.4
PRT,Portugal,1971-04-01,1.8
SWE,Sweden,1971-04-01,15.4
USA,United States,1971-04-01,17.6
AUS,Australia,1971-07-01,10.1
AUT,Austria,1971-07-01,22.9
CAN,Canada,1971-07-01,18.0
CHE,Switzerland,1971-07-01,35.7
DEU,Germany,1971-07-01,32.3
DNK,Denmark,1971-07-01,15.2
FIN,Finland,1971-07-01,13.2
FRA,France,1971-07-01,16.2
GBR,United Kingdom,1971-07-01,10.2
GRC,Greece,1971-07-01,1.5
ISR,Israel,1971-07-01,0.0
ITA,Italy,1971-07-01,5.9
JPN,Japan,1971-07-01,34.2
LUX,Luxembourg,1971-07-01,21.2
