Country Code,Country,Date,Core_CPI
AUS,Australia,1970-01-01,5.0
AUT,Austria,1970-01-01,3.7
BEL,Belgium,1970-01-01,5.3
CAN,Canada,1970-01-01,3.6
CHE,Switzerland,1970-01-01,3.4
CYP,Cyprus,1970-01-01,5.1
DEU,Germany,1970-01-01,3.6
DNK,Denmark,1970-01-01,-5.9
ETH,Ethiopia,1970-01-01,1.2
FIN,Finland,1970-01-01,2.5
FRA,France,1970-01-01,-1.1
GBR,United Kingdom,1970-01-01,-3.4
GRC,Greece,1970-01-01,9.4
GTM,Guatemala,1970-01-01,-3.4
ITA,Italy,1970-01-01,17.2
JPN,Japan,1970-01-01,6.9
LUX,Luxembourg,1970-01-01,4.3
NLD,Netherlands,1970-01-01,3.8
NOR,Norway,1970-01-01,-26.1
NZL,New Zealand,1970-01-01,6.7
PAN,Panama,1970-01-01,4.6
PRT,Portugal,1970-01-01,9.5
SWE,Sweden,1970-01-01,6.7
TUN,Tunisia,1970-01-01,0.8
USA,United States,1970-01-01,6.2
AUS,Australia,1971-01-01,-10.9
AUT,Austria,1971-01-01,5.2
BEL,Belgium,1971-01-01,1.0
CAN,Canada,1971-01-01,2.9
CHE,Switzerland,1971-01-01,6.4
CYP,Cyprus,1971-01-01,4.5
DEU,Germany,1971-01-01,5.5
DNK,Denmark,1971-01-01,5.6
ETH,Ethiopia,1971-01-01,5.1
FIN,Finland,1971-01-01,6.3
FRA,France,1971-01-01,-17.6
GBR,United Kingdom,1971-01-01,9.1
GRC,Greece,1971-01-01,2.7
GTM,Guatemala,1971-01-01,10.9
ISR,Israel,1971-01-01,11.7
ITA,Italy,1971-01-01,5.8
JPN,Japan,1971-01-01,7.0
LUX,Luxembourg,1971-01-01,4.9
NLD,Netherlands,1971-01-01,8.5
NZL,New Zealand,1971-01-01,11.0
PAN,Panama,1971-01-01,5.5
PRT,Portugal,1971-01-01,15.0
SWE,Sweden,1971-01-01,6.9
TUN,Tunisia,1971-01-01,3.9
USA,United States,1971-01-01,4.7
AUS,Australia,1972-01-01,6.5
AUT,Austria,1972-01-01,6.4
BEL,Belgium,1972-01-01,1.6
CAN,Canada,1972-01-01,4.8
CHE,Switzerland,1972-01-01,7.2
CYP,Cyprus,1972-01-01,3.1
DEU,Germany,1972-01-01,5.5
DNK,Denmark,1972-01-01,6.4
ETH,Ethiopia,1972-01-01,2.9
FIN,Finland,1972-01-01,6.2
FRA,France,1972-01-01,6.0
GBR,United Kingdom,1972-01-01,6.8
GRC,Greece,1972-01-01,4.6
GTM,Guatemala,1972-01-01,0.6
ISR,Israel,1972-01-01,14.6
ITA,Italy,1972-01-01,5.7
JPN,Japan,1972-01-01,5.6
KOR,"Korea, Rep.",1972-01-01,20.5
LUX,Luxembourg,1972-01-01,5.2
NLD,Netherlands,1972-01-01,8.3
NZL,New Zealand,1972-01-01,7.6
PAN,Panama,1972-01-01,6.7
PRT,Portugal,1972-01-01,11.8
SWE,Sweden,1972-01-01,5.8
TUN,Tunisia,1972-01-01,1.3
USA,United States,1972-01-01,3.1
AUS,Australia,1973-01-01,8.3
AUT,Austria,1973-01-01,7.4
BEL,Belgium,1973-01-01,18.3
CAN,Canada,1973-01-01,6.3
CHE,Switzerland,1973-01-01,8.8
CYP,Cyprus,1973-01-01,13.3
DEU,Germany,1973-01-01,6.4
DNK,Denmark,1973-01-01,16.4
ETH,Ethiopia,1973-01-01,5.2
FIN,Finland,1973-01-01,10.5
FRA,France,1973-01-01,7.1
GBR,United Kingdom,1973-01-01,8.6
GRC,Greece,1973-01-01,15.4
GTM,Guatemala,1973-01-01,6.0
ISR,Israel,1973-01-01,20.2
ITA,Italy,1973-01-01,10.5
JPN,Japan,1973-01-01,11.5
KOR,"Korea, Rep.",1973-01-01,27.3
LUX,Luxembourg,1973-01-01,6.2
NLD,Netherlands,1973-01-01,8.2
NOR,Norway,1973-01-01,-13.2
NZL,New Zealand,1973-01-01,7.5
PAN,Panama,1973-01-01,11.7
PRT,Portugal,1973-01-01,15.6
SWE,Sweden,1973-01-01,6.4
TUN,Tunisia,1973-01-01,6.2
USA,United States,1973-01-01,3.5
AUS,Australia,1974-01-01,15.6
AUT,Austria,1974-01-01,9.8
BEL,Belgium,1974-01-01,-3.6
CAN,Canada,1974-01-01,10.0
CHE,Switzerland,1974-01-01,8.8
DEU,Germany,1974-01-01,6.8
DNK,Denmark,1974-01-01,14.0
ESP,Spain,1974-01-01,9.3
ETH,Ethiopia,1974-01-01,9.8
FIN,Finland,1974-01-01,14.9
FRA,France,1974-01-01,12.2
GBR,United Kingdom,1974-01-01,13.8
GRC,Greece,1974-01-01,24.1
GTM,Guatemala,1974-01-01,27.0
ISR,Israel,1974-01-01,36.3
ITA,Italy,1974-01-01,16.5
JPN,Japan,1974-01-01,20.6
KOR,"Korea, Rep.",1974-01-01,41.5
LUX,Luxembourg,1974-01-01,9.6
NLD,Netherlands,1974-01-01,9.7
NZL,New Zealand,1974-01-01,11.1
PAN,Panama,1974-01-01,28.8
PRT,Portugal,1974-01-01,21.6
SWE,Sweden,1974-01-01,9.0
TUN,Tunisia,1974-01-01,33.5
USA,United States,1974-01-01,8.2
AUS,Australia,1975-01-01,16.3
AUT,Austria,1975-01-01,9.4
BEL,Belgium,1975-01-01,-6.5
CAN,Canada,1975-01-01,10.2
CHE,Switzerland,1975-01-01,7.3
DEU,Germany,1975-01-01,5.7
DNK,Denmark,1975-01-01,9.6
ETH,Ethiopia,1975-01-01,5.3
FIN,Finland,1975-01-01,17.5
FRA,France,1975-01-01,-1.8
GBR,United Kingdom,1975-01-01,22.1
GRC,Greece,1975-01-01,14.3
GTM,Guatemala,1975-01-01,14.0
ISL,Iceland,1975-01-01,-42.7
ISR,Israel,1975-01-01,36.2
ITA,Italy,1975-01-01,16.9
JPN,Japan,1975-01-01,11.3
KOR,"Korea, Rep.",1975-01-01,16.0
LUX,Luxembourg,1975-01-01,10.1
NLD,Netherlands,1975-01-01,10.4
NZL,New Zealand,1975-01-01,15.6
PAN,Panama,1975-01-01,12.5
PRT,Portugal,1975-01-01,-33.3
SGP,Singapore,1975-01-01,-1.7
SWE,Sweden,1975-01-01,9.8
TUN,Tunisia,1975-01-01,10.4
USA,United States,1975-01-01,9.2
AUS,Australia,1976-01-01,13.8
AUT,Austria,1976-01-01,10.2
BEL,Belgium,1976-01-01,6.0
CAN,Canada,1976-01-01,8.0
CHE,Switzerland,1976-01-01,2.2
DEU,Germany,1976-01-01,4.0
DNK,Denmark,1976-01-01,34.7
