Country Code,Country,Date,Food_Price_Index
AUS,Australia,1970-01-01,9.4
AUT,Austria,1970-01-01,28.4
CAN,Canada,1970-01-01,13.9
CHE,Switzerland,1970-01-01,37.8
DEU,Germany,1970-01-01,36.5
DNK,Denmark,1970-01-01,14.1
ESP,Spain,1970-01-01,5.4
FIN,Finland,1970-01-01,13.5
FRA,France,1970-01-01,13.7
GBR,United Kingdom,1970-01-01,7.9
GRC,Greece,1970-01-01,1.3
ISR,Israel,1970-01-01,0.0
ITA,Italy,1970-01-01,6.2
JPN,Japan,1970-01-01,32.9
LUX,Luxembourg,1970-01-01,20.7
MEX,Mexico,1970-01-01,0.0
NLD,Netherlands,1970-01-01,34.7
NZL,New Zealand,1970-01-01,7.0
PRT,Portugal,1970-01-01,2.1
SGP,Singapore,1970-01-01,24.287
SWE,Sweden,1970-01-01,13.2
TUR,Turkey,1970-01-01,0.0
TWN,"Taiwan, China",1970-01-01,12.59
USA,United States,1970-01-01,16.4
ZAF,South Africa,1970-01-01,1.0
AUS,Australia,1970-04-01,9.5
AUT,Austria,1970-04-01,28.6
CAN,Canada,1970-04-01,14.0
CHE,Switzerland,1970-04-01,37.8
DEU,Germany,1970-04-01,36.9
DNK,Denmark,1970-04-01,14.2
ESP,Spain,1970-04-01,5.4
FIN,Finland,1970-04-01,13.6
FRA,France,1970-04-01,13.9
GBR,United Kingdom,1970-04-01,8.2
GRC,Greece,1970-04-01,1.4
ISR,Israel,1970-04-01,0.0
ITA,Italy,1970-04-01,6.3
JPN,Japan,1970-04-01,33.0
LUX,Luxembourg,1970-04-01,20.9
MEX,Mexico,1970-04-01,0.0
NLD,Netherlands,1970-04-01,35.1
NZL,New Zealand,1970-04-01,7.2
PRT,Portugal,1970-04-01,2.0
SGP,Singapore,1970-04-01,23.844
SWE,Sweden,1970-04-01,13.5
TUR,Turkey,1970-04-01,0.0
TWN,"Taiwan, China",1970-04-01,12.72
USA,United States,1970-04-01,16.4
ZAF,South Africa,1970-04-01,1.0
AUS,Australia,1970-07-01,9.5
AUT,Austria,1970-07-01,29.0
CAN,Canada,1970-07-01,14.0
CHE,Switzerland,1970-07-01,38.2
DEU,Germany,1970-07-01,36.6
DNK,Denmark,1970-07-01,14.7
ESP,Spain,1970-07-01,5.5
FIN,Finland,1970-07-01,13.8
FRA,France,1970-07-01,14.1
GBR,United Kingdom,1970-07-01,8.2
GRC,Greece,1970-07-01,1.4
ISR,Israel,1970-07-01,0.0
ITA,Italy,1970-07-01,6.4
JPN,Japan,1970-07-01,32.3
LUX,Luxembourg,1970-07-01,20.9
MEX,Mexico,1970-07-01,0.0
NLD,Netherlands,1970-07-01,35.5
NZL,New Zealand,1970-07-01,7.2
PRT,Portugal,1970-07-01,2.0
SGP,Singapore,1970-07-01,24.188
SWE,Sweden,1970-07-01,13.9
TUR,Turkey,1970-07-01,0.0
TWN,"Taiwan, China",1970-07-01,13.43
USA,United States,1970-07-01,16.6
ZAF,South Africa,1970-07-01,1.0
AUS,Australia,1970-10-01,9.6
AUT,Austria,1970-10-01,29.1
CAN,Canada,1970-10-01,13.4
CHE,Switzerland,1970-10-01,38.9
DEU,Germany,1970-10-01,36.5
DNK,Denmark,1970-10-01,14.8
ESP,Spain,1970-10-01,5.6
FIN,Finland,1970-10-01,13.7
FRA,France,1970-10-01,14.3
GBR,United Kingdom,1970-10-01,8.3
GRC,Greece,1970-10-01,1.4
ISR,Israel,1970-10-01,0.0
ITA,Italy,1970-10-01,6.4
JPN,Japan,1970-10-01,33.7
LUX,Luxembourg,1970-10-01,20.7
MEX,Mexico,1970-10-01,0.0
NLD,Netherlands,1970-10-01,35.5
NZL,New Zealand,1970-10-01,7.5
PRT,Portugal,1970-10-01,2.1
SGP,Singapore,1970-10-01,24.198
SWE,Sweden,1970-10-01,13.9
TUR,Turkey,1970-10-01,0.0
TWN,"Taiwan, China",1970-10-01,13.39
USA,United States,1970-10-01,16.4
ZAF,South Africa,1970-10-01,1.0
AUS,Australia,1971-01-01,9.7
AUT,Austria,1971-01-01,29.2
CAN,Canada,1971-01-01,13.4
CHE,Switzerland,1971-01-01,39.9
DEU,Germany,1971-01-01,37.4
DNK,Denmark,1971-01-01,14.9
ESP,Spain,1971-01-01,5.7
FIN,Finland,1971-01-01,13.8
FRA,France,1971-01-01,14.5
GBR,United Kingdom,1971-01-01,8.6
GRC,Greece,1971-01-01,1.4
ISR,Israel,1971-01-01,0.0
ITA,Italy,1971-01-01,6.5
JPN,Japan,1971-01-01,34.2
LUX,Luxembourg,1971-01-01,21.1
MEX,Mexico,1971-01-01,0.0
NLD,Netherlands,1971-01-01,35.8
NZL,New Zealand,1971-01-01,7.8
PRT,Portugal,1971-01-01,2.1
SGP,Singapore,1971-01-01,24.973
SWE,Sweden,1971-01-01,14.6
TUR,Turkey,1971-01-01,0.0
TWN,"Taiwan, China",1971-01-01,13.36
USA,United States,1971-01-01,16.5
ZAF,South Africa,1971-01-01,1.0
AUS,Australia,1971-04-01,9.8
AUT,Austria,1971-04-01,29.2
CAN,Canada,1971-04-01,13.7
CHE,Switzerland,1971-04-01,40.1
DEU,Germany,1971-04-01,38.2
DNK,Denmark,1971-04-01,15.2
ESP,Spain,1971-04-01,5.8
FIN,Finland,1971-04-01,14.1
FRA,France,1971-04-01,14.7
GBR,United Kingdom,1971-04-01,9.1
GRC,Greece,1971-04-01,1.5
ISR,Israel,1971-04-01,0.0
ITA,Italy,1971-04-01,6.6
JPN,Japan,1971-04-01,34.0
LUX,Luxembourg,1971-04-01,21.5
MEX,Mexico,1971-04-01,0.0
NLD,Netherlands,1971-04-01,36.6
NZL,New Zealand,1971-04-01,7.8
PRT,Portugal,1971-04-01,2.2
SGP,Singapore,1971-04-01,24.303
SWE,Sweden,1971-04-01,14.5
TUR,Turkey,1971-04-01,0.0
TWN,"Taiwan, China",1971-04-01,13.2
USA,United States,1971-04-01,16.9
ZAF,South Africa,1971-04-01,1.0
AUS,Australia,1971-07-01,10.0
AUT,Austria,1971-07-01,30.1
CAN,Canada,1971-07-01,14.2
CHE,Switzerland,1971-07-01,40.9
DEU,Germany,1971-07-01,38.2
DNK,Denmark,1971-07-01,15.6
ESP,Spain,1971-07-01,5.9
FIN,Finland,1971-07-01,14.4
FRA,France,1971-07-01,14.9
GBR,United Kingdom,1971-07-01,9.2
GRC,Greece,1971-07-01,1.4
ISR,Israel,1971-07-01,0.0
ITA,Italy,1971-07-01,6.6
JPN,Japan,1971-07-01,34.5
LUX,Luxembourg,1971-07-01,21.6
MEX,Mexico,1971-07-01,0.0
NLD,Netherlands,1971-07-01,37.1
NZL,New Zealand,1971-07-01,7.9
PRT,Portugal,1971-07-01,2.2
SGP,Singapore,1971-07-01,24.656
SWE,Sweden,1971-07-01,15.1
TUR,Turkey,1971-07-01,0.0
TWN,"Taiwan, China",1971-07-01,13.54
USA,United States,1971-07-01,17.0
ZAF,South Africa,1971-07-01,1.0
AUS,Australia,1971-10-01,10.0
AUT,Austria,1971-10-01,30.3
CAN,Canada,1971-10-01,14.2
CHE,Switzerland,1971-10-01,41.7
DEU,Germany,1971-10-01,38.3
DNK,Denmark,1971-10-01,15.9
ESP,Spain,1971-10-01,6.1
FIN,Finland,1971-10-01,14.5
FRA,France,1971-10-01,15.2
GBR,United Kingdom,1971-10-01,9.4
GRC,Greece,1971-10-01,1.4
ISR,Israel,1971-10-01,0.0
ITA,Italy,1971-10-01,6.8
JPN,Japan,1971-10-01,35.1
LUX,Luxembourg,1971-10-01,22.0
MEX,Mexico,1971-10-01,0.0
NLD,Netherlands,1971-10-01,37.7
NZL,New Zealand,1971-10-01,8.1
PRT,Portugal,1971-10-01,2.4
SGP,Singapore,1971-10-01,24.793
SWE,Sweden,1971-10-01,15.4
TUR,Turkey,1971-10-01,0.0
TWN,"Taiwan, China",1971-10-01,13.77
USA,United States,1971-10-01,17.0
ZAF,South Africa,1971-10-01,1.1
AUS,Australia,1972-01-01,10.1
AUT,Austria,1972-01-01,30.4
CAN,Canada,1972-01-01,14.5
CHE,Switzerland,1972-01-01,42.3
DEU,Germany,1972-01-01,39.2
DNK,Denmark,1972-01-01,16.1
ESP,Spain,1972-01-01,6.3
FIN,Finland,1972-01-01,14.7
FRA,France,1972-01-01,15.5
GBR,United Kingdom,1972-01-01,9.6
GRC,Greece,1972-01-01,1.5
ISR,Israel,1972-01-01,0.0
ITA,Italy,1972-01-01,6.8
JPN,Japan,1972-01-01,34.7
LUX,Luxembourg,1972-01-01,22.3
MEX,Mexico,1972-01-01,0.0
NLD,Netherlands,1972-01-01,38.2
NZL,New Zealand,1972-01-01,8.2
PRT,Portugal,1972-01-01,2.4
SGP,Singapore,1972-01-01,25.106
SWE,Sweden,1972-01-01,15.8
TUR,Turkey,1972-01-01,0.0
TWN,"Taiwan, China",1972-01-01,13.77
USA,United States,1972-01-01,17.3
ZAF,South Africa,1972-01-01,1.1
AUS,Australia,1972-04-01,10.1
AUT,Austria,1972-04-01,30.6
CAN,Canada,1972-04-01,14.5
CHE,Switzerland,1972-04-01,42.6
DEU,Germany,1972-04-01,39.8
DNK,Denmark,1972-04-01,16.6
ESP,Spain,1972-04-01,6.3
FIN,Finland,1972-04-01,15.4
FRA,France,1972-04-01,15.8
GBR,United Kingdom,1972-04-01,9.7
GRC,Greece,1972-04-01,1.5
ISR,Israel,1972-04-01,0.0
ITA,Italy,1972-04-01,7.0
JPN,Japan,1972-04-01,35.5
LUX,Luxembourg,1972-04-01,22.6
MEX,Mexico,1972-04-01,0.0
NLD,Netherlands,1972-04-01,38.8
NZL,New Zealand,1972-04-01,8.3
PRT,Portugal,1972-04-01,2.5
SGP,Singapore,1972-04-01,24.651
SWE,Sweden,1972-04-01,16.0
TUR,Turkey,1972-04-01,0.0
TWN,"Taiwan, China",1972-04-01,14.1
USA,United States,1972-04-01,17.4
ZAF,South Africa,1972-04-01,1.1
AUS,Australia,1972-07-01,10.3
AUT,Austria,1972-07-01,31.7
CAN,Canada,1972-07-01,15.4
CHE,Switzerland,1972-07-01,43.7
DEU,Germany,1972-07-01,40.4
DNK,Denmark,1972-07-01,17.1
ESP,Spain,1972-07-01,6.5
FIN,Finland,1972-07-01,15.9
FRA,France,1972-07-01,16.1
GBR,United Kingdom,1972-07-01,10.0
GRC,Greece,1972-07-01,1.4
ISR,Israel,1972-07-01,0.0
ITA,Italy,1972-07-01,7.2
JPN,Japan,1972-07-01,35.6
LUX,Luxembourg,1972-07-01,23.3
MEX,Mexico,1972-07-01,0.0
NLD,Netherlands,1972-07-01,39.4
NZL,New Zealand,1972-07-01,8.3
PRT,Portugal,1972-07-01,2.4
SGP,Singapore,1972-07-01,25.399
SWE,Sweden,1972-07-01,16.4
TUR,Turkey,1972-07-01,0.0
TWN,"Taiwan, China",1972-07-01,15.11
USA,United States,1972-07-01,17.7
ZAF,South Africa,1972-07-01,1.1
AUS,Australia,1972-10-01,10.5
AUT,Austria,1972-10-01,32.5
CAN,Canada,1972-10-01,15.4
CHE,Switzerland,1972-10-01,44.6
DEU,Germany,1972-10-01,41.3
DNK,Denmark,1972-10-01,17.3
ESP,Spain,1972-10-01,6.7
FIN,Finland,1972-10-01,16.2
FRA,France,1972-10-01,16.5
GBR,United Kingdom,1972-10-01,10.2
GRC,Greece,1972-10-01,1.5
ISR,Israel,1972-10-01,0.0
ITA,Italy,1972-10-01,7.4
JPN,Japan,1972-10-01,36.0
LUX,Luxembourg,1972-10-01,23.7
MEX,Mexico,1972-10-01,0.0
NLD,Netherlands,1972-10-01,40.6
NZL,New Zealand,1972-10-01,8.3
PRT,Portugal,1972-10-01,2.5
SGP,Singapore,1972-10-01,25.986
SWE,Sweden,1972-10-01,16.7
TUR,Turkey,1972-10-01,0.0
TWN,"Taiwan, China",1972-10-01,14.07
USA,United States,1972-10-01,17.9
ZAF,South Africa,1972-10-01,1.1
AUS,Australia,1973-01-01,11.0
AUT,Austria,1973-01-01,33.0
CAN,Canada,1973-01-01,16.1
CHE,Switzerland,1973-01-01,45.6
DEU,Germany,1973-01-01,42.3
DNK,Denmark,1973-01-01,17.8
ESP,Spain,1973-01-01,6.8
FIN,Finland,1973-01-01,16.5
FRA,France,1973-01-01,16.8
GBR,United Kingdom,1973-01-01,10.7
GRC,Greece,1973-01-01,1.6
ISR,Israel,1973-01-01,0.0
ITA,Italy,1973-01-01,7.6
JPN,Japan,1973-01-01,37.6
LUX,Luxembourg,1973-01-01,24.1
MEX,Mexico,1973-01-01,0.0
NLD,Netherlands,1973-01-01,41.2
NZL,New Zealand,1973-01-01,8.7
PRT,Portugal,1973-01-01,2.6
SGP,Singapore,1973-01-01,28.219
SWE,Sweden,1973-01-01,16.8
TUR,Turkey,1973-01-01,0.0
TWN,"Taiwan, China",1973-01-01,14.23
USA,United States,1973-01-01,18.9
ZAF,South Africa,1973-01-01,1.2
AUS,Australia,1973-04-01,11.5
AUT,Austria,1973-04-01,33.2
CAN,Canada,1973-04-01,16.8
CHE,Switzerland,1973-04-01,45.4
DEU,Germany,1973-04-01,43.6
DNK,Denmark,1973-04-01,18.8
ESP,Spain,1973-04-01,7.1
FIN,Finland,1973-04-01,17.1
FRA,France,1973-04-01,17.3
GBR,United Kingdom,1973-04-01,11.3
GRC,Greece,1973-04-01,1.8
ISR,Israel,1973-04-01,0.0
ITA,Italy,1973-04-01,7.9
JPN,Japan,1973-04-01,39.6
LUX,Luxembourg,1973-04-01,24.8
MEX,Mexico,1973-04-01,0.0
NLD,Netherlands,1973-04-01,42.1
NZL,New Zealand,1973-04-01,9.1
PRT,Portugal,1973-04-01,2.6
SGP,Singapore,1973-04-01,31.035
SWE,Sweden,1973-04-01,17.1
TUR,Turkey,1973-04-01,0.0
TWN,"Taiwan, China",1973-04-01,14.6
USA,United States,1973-04-01,19.9
ZAF,South Africa,1973-04-01,1.3
AUS,Australia,1973-07-01,12.2
AUT,Austria,1973-07-01,33.7
CAN,Canada,1973-07-01,17.8
CHE,Switzerland,1973-07-01,45.7
DEU,Germany,1973-07-01,43.3
DNK,Denmark,1973-07-01,19.6
ESP,Spain,1973-07-01,7.5
FIN,Finland,1973-07-01,18.0
FRA,France,1973-07-01,17.8
GBR,United Kingdom,1973-07-01,11.5
GRC,Greece,1973-07-01,1.6
ISR,Israel,1973-07-01,0.0
ITA,Italy,1973-07-01,8.1
JPN,Japan,1973-07-01,40.9
LUX,Luxembourg,1973-07-01,24.6
MEX,Mexico,1973-07-01,0.0
NLD,Netherlands,1973-07-01,42.6
