Country Code,Country,Date,Producer_Price_Index
BEL,Belgium,1970-01-01,27.0
CAF,Central African Republic,1970-01-01,10.4
CAN,Canada,1970-01-01,19.5
CHE,Switzerland,1970-01-01,53.7
COG,"Congo, Rep.",1970-01-01,20.1
COL,Colombia,1970-01-01,0.2
DEU,Germany,1970-01-01,36.9
DNK,Denmark,1970-01-01,16.3
FIN,Finland,1970-01-01,19.0
GBR,United Kingdom,1970-01-01,8.6
GTM,Guatemala,1970-01-01,26.8
IND,India,1970-01-01,4.7
IRL,Ireland,1970-01-01,14.8
JPN,Japan,1970-01-01,56.0
KOR,"Korea, Rep.",1970-01-01,7.4
NLD,Netherlands,1970-01-01,35.1
NLD,Netherlands,1970-01-01,35.1
THA,Thailand,1970-01-01,11.3
USA,United States,1970-01-01,20.2
ZAF,South Africa,1970-01-01,1.0
BEL,Belgium,1970-02-01,27.1
CAF,Central African Republic,1970-02-01,10.5
CAN,Canada,1970-02-01,19.6
CHE,Switzerland,1970-02-01,53.9
COG,"Congo, Rep.",1970-02-01,20.2
COL,Colombia,1970-02-01,0.2
DEU,Germany,1970-02-01,37.1
DNK,Denmark,1970-02-01,16.4
FIN,Finland,1970-02-01,19.0
GBR,United Kingdom,1970-02-01,8.7
GTM,Guatemala,1970-02-01,27.0
IND,India,1970-02-01,4.7
IRL,Ireland,1970-02-01,15.0
JPN,Japan,1970-02-01,56.4
KOR,"Korea, Rep.",1970-02-01,7.4
NLD,Netherlands,1970-02-01,35.1
NLD,Netherlands,1970-02-01,35.1
THA,Thailand,1970-02-01,11.4
USA,United States,1970-02-01,20.3
ZAF,South Africa,1970-02-01,1.0
BEL,Belgium,1970-03-01,27.2
CAF,Central African Republic,1970-03-01,10.6
CAN,Canada,1970-03-01,19.7
CHE,Switzerland,1970-03-01,54.4
COG,"Congo, Rep.",1970-03-01,21.0
COL,Colombia,1970-03-01,0.2
DEU,Germany,1970-03-01,37.2
DNK,Denmark,1970-03-01,16.6
FIN,Finland,1970-03-01,19.1
GBR,United Kingdom,1970-03-01,8.8
GTM,Guatemala,1970-03-01,26.8
IND,India,1970-03-01,4.9
IRL,Ireland,1970-03-01,15.2
JPN,Japan,1970-03-01,56.5
KOR,"Korea, Rep.",1970-03-01,7.5
NLD,Netherlands,1970-03-01,35.3
NLD,Netherlands,1970-03-01,35.3
THA,Thailand,1970-03-01,11.2
USA,United States,1970-03-01,20.3
ZAF,South Africa,1970-03-01,1.0
BEL,Belgium,1970-04-01,27.4
CAF,Central African Republic,1970-04-01,10.8
CAN,Canada,1970-04-01,19.7
CHE,Switzerland,1970-04-01,54.5
COG,"Congo, Rep.",1970-04-01,21.4
COL,Colombia,1970-04-01,0.2
DEU,Germany,1970-04-01,37.2
DNK,Denmark,1970-04-01,16.6
FIN,Finland,1970-04-01,19.2
GBR,United Kingdom,1970-04-01,8.8
GTM,Guatemala,1970-04-01,27.3
IND,India,1970-04-01,4.9
IRL,Ireland,1970-04-01,15.3
JPN,Japan,1970-04-01,56.7
KOR,"Korea, Rep.",1970-04-01,7.6
NLD,Netherlands,1970-04-01,35.8
NLD,Netherlands,1970-04-01,35.8
THA,Thailand,1970-04-01,11.1
USA,United States,1970-04-01,20.4
ZAF,South Africa,1970-04-01,1.0
BEL,Belgium,1970-05-01,27.3
CAF,Central African Republic,1970-05-01,10.8
CAN,Canada,1970-05-01,19.7
CHE,Switzerland,1970-05-01,54.7
COG,"Congo, Rep.",1970-05-01,21.6
COL,Colombia,1970-05-01,0.2
DEU,Germany,1970-05-01,37.2
DNK,Denmark,1970-05-01,16.6
FIN,Finland,1970-05-01,19.2
GBR,United Kingdom,1970-05-01,8.9
GTM,Guatemala,1970-05-01,27.6
IND,India,1970-05-01,4.9
IRL,Ireland,1970-05-01,15.4
JPN,Japan,1970-05-01,56.8
KOR,"Korea, Rep.",1970-05-01,7.6
NLD,Netherlands,1970-05-01,35.6
NLD,Netherlands,1970-05-01,35.6
THA,Thailand,1970-05-01,11.1
USA,United States,1970-05-01,20.4
ZAF,South Africa,1970-05-01,1.0
BEL,Belgium,1970-06-01,27.3
CAF,Central African Republic,1970-06-01,10.9
CAN,Canada,1970-06-01,19.5
CHE,Switzerland,1970-06-01,54.6
COG,"Congo, Rep.",1970-06-01,21.9
COL,Colombia,1970-06-01,0.2
DEU,Germany,1970-06-01,37.3
DNK,Denmark,1970-06-01,16.9
FIN,Finland,1970-06-01,19.1
GBR,United Kingdom,1970-06-01,8.9
GTM,Guatemala,1970-06-01,27.7
IND,India,1970-06-01,5.0
IRL,Ireland,1970-06-01,15.3
JPN,Japan,1970-06-01,56.7
KOR,"Korea, Rep.",1970-06-01,7.6
NLD,Netherlands,1970-06-01,35.7
NLD,Netherlands,1970-06-01,35.7
