Country Code,Country,Date,GDP_Deflator_Index
AUS,Australia,1970-01-01,9.6
CAN,Canada,1970-01-01,16.9
DEU,Germany,1970-01-01,31.9
FRA,France,1970-01-01,15.6
GBR,United Kingdom,1970-01-01,8.2
KOR,"Korea, Rep.",1970-01-01,4.1
TWN,"Taiwan, China",1970-01-01,26.0
USA,United States,1970-01-01,22.1
ZAF,South Africa,1970-01-01,1.3
AUS,Australia,1970-04-01,9.8
CAN,Canada,1970-04-01,17.1
DEU,Germany,1970-04-01,32.3
FRA,France,1970-04-01,15.9
GBR,United Kingdom,1970-04-01,8.3
KOR,"Korea, Rep.",1970-04-01,4.0
TWN,"Taiwan, China",1970-04-01,26.9
USA,United States,1970-04-01,22.4
ZAF,South Africa,1970-04-01,1.3
AUS,Australia,1970-07-01,9.9
CAN,Canada,1970-07-01,17.2
DEU,Germany,1970-07-01,32.7
FRA,France,1970-07-01,16.1
GBR,United Kingdom,1970-07-01,8.5
KOR,"Korea, Rep.",1970-07-01,4.3
TWN,"Taiwan, China",1970-07-01,27.1
USA,United States,1970-07-01,22.6
ZAF,South Africa,1970-07-01,1.3
AUS,Australia,1970-10-01,10.0
CAN,Canada,1970-10-01,17.3
DEU,Germany,1970-10-01,32.7
FRA,France,1970-10-01,16.3
GBR,United Kingdom,1970-10-01,8.8
KOR,"Korea, Rep.",1970-10-01,4.3
TWN,"Taiwan, China",1970-10-01,26.6
USA,United States,1970-10-01,22.9
ZAF,South Africa,1970-10-01,1.4
AUS,Australia,1971-01-01,10.2
CAN,Canada,1971-01-01,17.7
DEU,Germany,1971-01-01,34.4
FRA,France,1971-01-01,16.6
GBR,United Kingdom,1971-01-01,8.9
KOR,"Korea, Rep.",1971-01-01,4.5
TWN,"Taiwan, China",1971-01-01,26.9
USA,United States,1971-01-01,23.3
ZAF,South Africa,1971-01-01,1.4
AUS,Australia,1971-04-01,10.4
CAN,Canada,1971-04-01,17.9
DEU,Germany,1971-04-01,34.6
FRA,France,1971-04-01,16.8
GBR,United Kingdom,1971-04-01,9.1
KOR,"Korea, Rep.",1971-04-01,4.6
TWN,"Taiwan, China",1971-04-01,27.2
USA,United States,1971-04-01,23.6
ZAF,South Africa,1971-04-01,1.4
AUS,Australia,1971-07-01,10.5
CAN,Canada,1971-07-01,18.0
DEU,Germany,1971-07-01,35.2
FRA,France,1971-07-01,17.1
GBR,United Kingdom,1971-07-01,9.2
KOR,"Korea, Rep.",1971-07-01,4.7
TWN,"Taiwan, China",1971-07-01,27.5
USA,United States,1971-07-01,23.8
ZAF,South Africa,1971-07-01,1.4
AUS,Australia,1971-10-01,10.6
CAN,Canada,1971-10-01,18.3
DEU,Germany,1971-10-01,35.3
FRA,France,1971-10-01,17.2
GBR,United Kingdom,1971-10-01,9.4
KOR,"Korea, Rep.",1971-10-01,4.9
TWN,"Taiwan, China",1971-10-01,27.7
USA,United States,1971-10-01,24.0
ZAF,South Africa,1971-10-01,1.5
AUS,Australia,1972-01-01,10.9
CAN,Canada,1972-01-01,18.6
DEU,Germany,1972-01-01,36.1
FRA,France,1972-01-01,17.6
GBR,United Kingdom,1972-01-01,9.5
KOR,"Korea, Rep.",1972-01-01,5.1
TWN,"Taiwan, China",1972-01-01,28.3
USA,United States,1972-01-01,24.4
ZAF,South Africa,1972-01-01,1.6
AUS,Australia,1972-04-01,11.0
CAN,Canada,1972-04-01,18.8
DEU,Germany,1972-04-01,36.2
FRA,France,1972-04-01,17.9
GBR,United Kingdom,1972-04-01,9.7
KOR,"Korea, Rep.",1972-04-01,5.3
TWN,"Taiwan, China",1972-04-01,28.6
USA,United States,1972-04-01,24.5
ZAF,South Africa,1972-04-01,1.5
AUS,Australia,1972-07-01,11.3
CAN,Canada,1972-07-01,19.1
DEU,Germany,1972-07-01,36.6
FRA,France,1972-07-01,18.3
GBR,United Kingdom,1972-07-01,9.9
KOR,"Korea, Rep.",1972-07-01,5.5
TWN,"Taiwan, China",1972-07-01,29.4
USA,United States,1972-07-01,24.8
ZAF,South Africa,1972-07-01,1.6
AUS,Australia,1972-10-01,11.5
CAN,Canada,1972-10-01,19.5
DEU,Germany,1972-10-01,37.0
FRA,France,1972-10-01,18.5
GBR,United Kingdom,1972-10-01,10.3
KOR,"Korea, Rep.",1972-10-01,5.6
TWN,"Taiwan, China",1972-10-01,28.8
USA,United States,1972-10-01,25.1
ZAF,South Africa,1972-10-01,1.7
AUS,Australia,1973-01-01,11.8
CAN,Canada,1973-01-01,19.9
DEU,Germany,1973-01-01,38.2
FRA,France,1973-01-01,18.8
GBR,United Kingdom,1973-01-01,10.5
HKG,"Hong Kong SAR, China",1973-01-01,12.7
KOR,"Korea, Rep.",1973-01-01,5.8
TWN,"Taiwan, China",1973-01-01,30.2
USA,United States,1973-01-01,25.4
ZAF,South Africa,1973-01-01,1.8
AUS,Australia,1973-04-01,12.3
CAN,Canada,1973-04-01,20.5
DEU,Germany,1973-04-01,38.5
FRA,France,1973-04-01,19.2
GBR,United Kingdom,1973-04-01,10.4
HKG,"Hong Kong SAR, China",1973-04-01,12.7
KOR,"Korea, Rep.",1973-04-01,5.9
TWN,"Taiwan, China",1973-04-01,31.5
USA,United States,1973-04-01,25.8
ZAF,South Africa,1973-04-01,1.8
AUS,Australia,1973-07-01,12.9
CAN,Canada,1973-07-01,21.1
DEU,Germany,1973-07-01,38.9
FRA,France,1973-07-01,19.7
GBR,United Kingdom,1973-07-01,10.8
HKG,"Hong Kong SAR, China",1973-07-01,13.6
KOR,"Korea, Rep.",1973-07-01,6.2
TWN,"Taiwan, China",1973-07-01,33.7
USA,United States,1973-07-01,26.3
ZAF,South Africa,1973-07-01,1.9
AUS,Australia,1973-10-01,13.4
CAN,Canada,1973-10-01,22.0
DEU,Germany,1973-10-01,39.7
FRA,France,1973-10-01,20.5
GBR,United Kingdom,1973-10-01,11.3
HKG,"Hong Kong SAR, China",1973-10-01,14.2
KOR,"Korea, Rep.",1973-10-01,6.4
TWN,"Taiwan, China",1973-10-01,36.6
USA,United States,1973-10-01,26.8
ZAF,South Africa,1973-10-01,2.0
AUS,Australia,1974-01-01,13.9
CAN,Canada,1974-01-01,22.8
DEU,Germany,1974-01-01,40.5
FRA,France,1974-01-01,20.7
GBR,United Kingdom,1974-01-01,11.5
HKG,"Hong Kong SAR, China",1974-01-01,14.4
KOR,"Korea, Rep.",1974-01-01,7.4
TWN,"Taiwan, China",1974-01-01,42.1
USA,United States,1974-01-01,27.3
ZAF,South Africa,1974-01-01,2.1
AUS,Australia,1974-04-01,14.4
CAN,Canada,1974-04-01,23.6
DEU,Germany,1974-04-01,41.1
FRA,France,1974-04-01,21.4
GBR,United Kingdom,1974-04-01,12.1
HKG,"Hong Kong SAR, China",1974-04-01,14.7
KOR,"Korea, Rep.",1974-04-01,7.6
TWN,"Taiwan, China",1974-04-01,44.4
USA,United States,1974-04-01,27.9
ZAF,South Africa,1974-04-01,2.1
AUS,Australia,1974-07-01,15.1
CAN,Canada,1974-07-01,24.5
DEU,Germany,1974-07-01,42.0
FRA,France,1974-07-01,22.1
GBR,United Kingdom,1974-07-01,12.7
HKG,"Hong Kong SAR, China",1974-07-01,14.8
KOR,"Korea, Rep.",1974-07-01,7.9
TWN,"Taiwan, China",1974-07-01,43.9
USA,United States,1974-07-01,28.8
ZAF,South Africa,1974-07-01,2.1
AUS,Australia,1974-10-01,15.9
CAN,Canada,1974-10-01,25.1
DEU,Germany,1974-10-01,42.9
FRA,France,1974-10-01,23.2
GBR,United Kingdom,1974-10-01,13.5
HKG,"Hong Kong SAR, China",1974-10-01,15.6
KOR,"Korea, Rep.",1974-10-01,8.8
