Country Code,Country,Date,Producer_Price_Inflation
AUS,Australia,1970-01-01,4.4
BEL,Belgium,1970-01-01,4.8
CAF,Central African Republic,1970-01-01,-0.2
CAN,Canada,1970-01-01,2.5
CHE,Switzerland,1970-01-01,3.7
COG,"Congo, Rep.",1970-01-01,6.6
COL,Colombia,1970-01-01,8.2
CYP,Cyprus,1970-01-01,16.0
DEU,Germany,1970-01-01,4.9
DNK,Denmark,1970-01-01,7.9
FIN,Finland,1970-01-01,4.4
FRA,France,1970-01-01,1.4
GAB,Gabon,1970-01-01,11.3
GBR,United Kingdom,1970-01-01,7.1
GTM,Guatemala,1970-01-01,2.4
IND,India,1970-01-01,6.3
IRL,Ireland,1970-01-01,5.5
ITA,Italy,1970-01-01,25.1
JPN,Japan,1970-01-01,3.4
KOR,"Korea, Rep.",1970-01-01,9.2
NLD,Netherlands,1970-01-01,7.0
NZL,New Zealand,1970-01-01,5.9
SDN,Sudan,1970-01-01,6.6
THA,Thailand,1970-01-01,-0.5
TWN,"Taiwan, China",1970-01-01,2.7
URY,Uruguay,1970-01-01,13.4
USA,United States,1970-01-01,3.6
ZMB,Zambia,1970-01-01,14.3
AUS,Australia,1971-01-01,4.9
BEL,Belgium,1971-01-01,-0.6
CAF,Central African Republic,1971-01-01,5.2
CAN,Canada,1971-01-01,1.9
CHE,Switzerland,1971-01-01,4.0
COG,"Congo, Rep.",1971-01-01,0.7
COL,Colombia,1971-01-01,11.5
DEU,Germany,1971-01-01,4.2
DNK,Denmark,1971-01-01,3.5
FIN,Finland,1971-01-01,5.0
FRA,France,1971-01-01,-19.7
GAB,Gabon,1971-01-01,4.0
GBR,United Kingdom,1971-01-01,9.0
GTM,Guatemala,1971-01-01,2.1
IND,India,1971-01-01,5.4
IRL,Ireland,1971-01-01,5.3
JPN,Japan,1971-01-01,-0.8
KOR,"Korea, Rep.",1971-01-01,8.6
NLD,Netherlands,1971-01-01,5.5
NZL,New Zealand,1971-01-01,8.1
SDN,Sudan,1971-01-01,-4.3
THA,Thailand,1971-01-01,0.2
TWN,"Taiwan, China",1971-01-01,0.0
URY,Uruguay,1971-01-01,21.2
USA,United States,1971-01-01,3.3
ZAF,South Africa,1971-01-01,5.0
ZMB,Zambia,1971-01-01,0.0
AUS,Australia,1972-01-01,4.8
BEL,Belgium,1972-01-01,4.1
CAF,Central African Republic,1972-01-01,6.2
CAN,Canada,1972-01-01,4.5
CHE,Switzerland,1972-01-01,4.1
COG,"Congo, Rep.",1972-01-01,12.8
COL,Colombia,1972-01-01,18.3
DEU,Germany,1972-01-01,2.6
DNK,Denmark,1972-01-01,5.8
FIN,Finland,1972-01-01,8.4
GAB,Gabon,1972-01-01,4.9
GBR,United Kingdom,1972-01-01,5.2
GTM,Guatemala,1972-01-01,-0.7
IND,India,1972-01-01,8.5
IRL,Ireland,1972-01-01,10.7
JPN,Japan,1972-01-01,1.6
KOR,"Korea, Rep.",1972-01-01,13.9
NLD,Netherlands,1972-01-01,4.8
NZL,New Zealand,1972-01-01,6.8
SDN,Sudan,1972-01-01,9.1
SWE,Sweden,1972-01-01,4.5
THA,Thailand,1972-01-01,7.8
TWN,"Taiwan, China",1972-01-01,4.5
URY,Uruguay,1972-01-01,89.8
USA,United States,1972-01-01,4.4
ZAF,South Africa,1972-01-01,6.3
ZMB,Zambia,1972-01-01,4.2
AUS,Australia,1973-01-01,8.6
BEL,Belgium,1973-01-01,12.3
CAF,Central African Republic,1973-01-01,2.4
CAN,Canada,1973-01-01,11.1
CHE,Switzerland,1973-01-01,8.5
COG,"Congo, Rep.",1973-01-01,5.3
COL,Colombia,1973-01-01,28.0
DEU,Germany,1973-01-01,6.6
DNK,Denmark,1973-01-01,14.7
ESP,Spain,1973-01-01,51.7
FIN,Finland,1973-01-01,17.5
GAB,Gabon,1973-01-01,7.2
GBR,United Kingdom,1973-01-01,7.5
GTM,Guatemala,1973-01-01,14.3
IND,India,1973-01-01,16.5
IRL,Ireland,1973-01-01,18.4
JPN,Japan,1973-01-01,15.7
KOR,"Korea, Rep.",1973-01-01,7.0
NLD,Netherlands,1973-01-01,6.2
NZL,New Zealand,1973-01-01,12.8
SWE,Sweden,1973-01-01,11.3
THA,Thailand,1973-01-01,22.9
TWN,"Taiwan, China",1973-01-01,22.8
URY,Uruguay,1973-01-01,114.3
USA,United States,1973-01-01,13.1
ZAF,South Africa,1973-01-01,12.4
ZMB,Zambia,1973-01-01,12.0
AUS,Australia,1974-01-01,15.3
BEL,Belgium,1974-01-01,16.8
CAF,Central African Republic,1974-01-01,19.8
CAN,Canada,1974-01-01,19.0
CHE,Switzerland,1974-01-01,14.0
COG,"Congo, Rep.",1974-01-01,15.3
COL,Colombia,1974-01-01,36.0
DEU,Germany,1974-01-01,13.4
DNK,Denmark,1974-01-01,21.7
ESP,Spain,1974-01-01,16.4
FIN,Finland,1974-01-01,24.3
GAB,Gabon,1974-01-01,22.5
GBR,United Kingdom,1974-01-01,22.3
GTM,Guatemala,1974-01-01,22.8
IND,India,1974-01-01,28.4
IRL,Ireland,1974-01-01,11.7
JPN,Japan,1974-01-01,27.5
KOR,"Korea, Rep.",1974-01-01,42.1
LUX,Luxembourg,1974-01-01,-35.9
NLD,Netherlands,1974-01-01,9.0
NZL,New Zealand,1974-01-01,8.1
SWE,Sweden,1974-01-01,24.8
THA,Thailand,1974-01-01,28.9
TWN,"Taiwan, China",1974-01-01,40.6
URY,Uruguay,1974-01-01,79.0
USA,United States,1974-01-01,18.8
