Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
AFG,512,Afghanistan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,10.3,7.7,5.0,8.7,4.7,5.0,14.8,7.9,6.8,2.7,0.2,5.2,5.4,-0.1,,,,,,All Items Excluding Food and Energy
ALB,914,Albania,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.8,3.2,1.7,0.2,0.1,-0.2,0.2,0.8,0.9,0.7,1.4,1.7,6.5,5.2,All Items Excluding Food and Energy
AUS,193,Australia,Inflation,Official Core Consumer Price Inflation,5.0,-10.9,6.5,8.3,15.6,16.3,13.8,12.9,7.5,7.2,9.1,9.1,12.2,9.7,3.6,6.8,9.7,9.4,7.5,7.5,7.5,3.5,1.0,1.7,2.0,4.6,3.4,-0.4,0.9,1.0,4.2,4.3,3.0,2.3,2.0,2.1,2.0,2.5,3.6,2.3,2.7,2.2,2.1,2.4,2.6,2.5,1.8,1.6,1.3,0.7,0.0,1.4,5.5,5.3,All Items Excluding Food and Energy
AUT,122,Austria,Inflation,Official Core Consumer Price Inflation,3.7,5.2,6.4,7.4,9.8,9.4,10.2,6.1,3.7,3.8,5.5,5.2,5.7,4.3,5.5,3.7,3.7,2.1,2.7,2.7,2.9,3.4,4.3,4.3,3.3,2.3,1.5,1.1,1.2,0.7,1.7,2.6,2.2,1.4,1.8,1.7,0.9,1.6,1.9,1.8,1.4,2.4,2.1,2.1,2.0,1.8,1.5,2.0,1.8,1.7,1.9,2.2,5.5,7.7,All Items Excluding Food and Energy
ARM,911,Armenia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,1.0,0.1,2.5,4.9,0.8,2.7,3.8,11.7,3.7,7.5,8.6,5.3,5.8,1.9,5.1,-2.0,0.7,3.7,1.2,1.3,7.2,8.3,2.5,All Items Excluding Food and Energy
AZE,912,Azerbaijan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.0,-12.9,4.0,-0.5,-1.6,0.4,0.2,4.0,4.1,-0.1,-0.1,-1.8,,,,,All Items Excluding Food and Energy
BEL,124,Belgium,Inflation,Official Core Consumer Price Inflation,5.3,1.0,1.6,18.3,-3.6,-6.5,6.0,8.0,6.1,4.2,-9.2,23.0,7.1,8.4,6.1,11.8,5.7,3.7,2.3,2.6,2.9,4.2,3.6,3.5,2.7,1.8,1.9,-5.3,1.8,1.3,1.8,2.2,-8.2,24.4,1.9,2.1,0.6,1.6,1.9,1.9,1.4,1.8,2.2,1.4,1.6,1.4,2.0,1.5,1.3,3.8,1.5,1.6,4.6,6.6,All Items Excluding Food and Energy
BGR,918,Bulgaria,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.1,2.1,1.7,1.4,1.4,1.6,1.9,2.7,2.0,1.1,1.8,2.1,1.8,1.6,1.6,2.0,1.6,1.6,1.5,1.5,1.4,10.4,9.8,All Items Excluding Food and Energy
BLR,913,Belarus,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,10.1,5.0,6.5,12.3,12.6,6.7,58.6,58.3,13.7,14.3,12.2,10.9,5.4,3.6,4.6,4.6,9.3,16.5,4.0,All Items Excluding Food and Energy
BRA,223,Brazil,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,962.3,1916.4,2068.6,71.3,18.0,7.2,2.7,4.1,5.6,5.8,8.4,13.1,7.9,7.4,4.5,3.6,4.9,5.2,5.0,6.5,5.6,5.8,6.5,8.6,7.6,4.5,3.3,3.5,2.2,5.1,8.8,6.5,All Items Excluding Food and Energy
