Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
AGO,614,Angola,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,6.7,9.2,20.4,23.0,16.1,17.6,23.1,29.8,26.0,18.2," Producer Price Index, All Commodities"
ALB,914,Albania,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.5,6.5,-1.7,0.3,2.6,,,,,-1.6,2.8,1.6,-0.8,-3.4,2.7,19.9,," Producer Price Index, All Commodities"
ARG,213,Argentina,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,2.9,-1.2,-3.2,-4.0,3.7,-2.0,78.3,19.6,7.7,8.5,10.9,11.8,14.5,6.3,15.1,13.8,12.2,16.3,26.0,,,16.3,52.2,58.3,42.5,59.1,60.3,128.5," Producer Price Index, All Commodities"
ARM,911,Armenia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,800.0,764.4,3950.3,155.0,29.6,21.7,14.6,5.9,-0.4,1.1,3.6,8.9,21.0,7.6,0.9,0.6,3.3,7.1,22.6,9.1,7.0,4.7,8.5,-0.8,1.5,2.2,0.1,0.6,3.0,9.9,2.7,1.6," Producer Price Index, All Commodities"
AUS,193,Australia,Inflation,Producer Price Inflation,4.4,4.9,4.8,8.6,15.3,15.1,11.3,10.2,8.2,14.8,14.0,8.4,8.9,8.1,5.4,6.6,5.6,7.3,9.1,5.1,6.0,1.5,1.5,2.0,0.8,3.6,0.8,1.2,-4.0,-0.9,7.1,3.1,0.2,-1.2,7.7,6.0,6.1,2.3,8.1,-5.5,7.1,8.9,3.7,-0.5,-3.5,-4.9,-1.4,8.5,5.2,1.0,-3.7,5.7,9.9,," Producer Price Index, All Commodities"
AUT,122,Austria,Inflation,Producer Price Inflation,,,,,,,,-1.4,,,,,-2.8,,,,,,-0.2,1.8,2.9,0.9,-0.2,-0.4,1.3,0.3,0.2,0.4,-0.5,-0.8,3.0,0.2,-1.1,-0.1,1.7,3.1,1.7,2.8,3.5,-1.6,2.7,4.1,0.9,-0.9,-1.1,-1.5,-1.8,2.0,2.4,0.1,-1.6,7.9,9.5,1.8," Producer Price Index, All Commodities"
AZE,912,Azerbaijan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,23.4,-19.4,36.4,23.9,12.9,-3.9,-5.1,-30.6,27.5,36.8,26.0,3.2,-24.8,69.6,84.3,-8.8," Producer Price Index, All Commodities"
BEL,124,Belgium,Inflation,Producer Price Inflation,4.8,-0.6,4.1,12.3,16.8,1.2,7.1,2.4,-1.9,6.3,5.8,14.1,13.5,6.7,7.6,2.6,-11.5,-5.0,1.6,6.6,-1.0,-1.0,-1.8,-2.5,1.6,3.3,2.2,3.7,-1.9,0.0,10.6,2.2,0.2,-1.2,7.7,6.0,6.1,2.3,8.1,-5.5,7.1,8.9,3.7,-0.5,-3.5,-2.0,-1.4,8.5,5.2,1.0,-3.7,17.3,34.2,-5.5," Producer Price Index, All Commodities"
BGD,513,Bangladesh,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.4,1.0,1.1,5.5,5.0,6.0," Producer Price Index, All Commodities"
BGR,918,Bulgaria,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,0.9,-0.3,2.0,0.2,11.5,296.3,-60.7,-82.8,1146.3,55.7,132.7,971.2,17.0,2.8,17.5,3.7,1.3,4.9,6.0,8.1,12.9,7.6,10.3,-6.9,8.9,9.6,4.1,-1.6,-1.3,-2.0,-3.1,5.0,3.9,3.1,-1.9,15.3,37.8,-9.2," Producer Price Index, All Commodities"
BIH,963,Bosnia and Herzegovina,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,-3.3,4.7,0.4,-1.8,-0.5,0.6,-1.9,3.0,3.5,0.1,-1.2,5.6,18.5,3.6," Producer Price Index, All Commodities"
BLR,913,Belarus,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,498.3,34.7,87.5,72.5,355.8,181.1,5.7,-1.8,3.0,1.2,3.2,4.0,1.2,4.1,-3.3,1.8,4.1,1.7,-0.2,-0.5,-0.5,-1.2,1.9,1.9,0.9,-0.8,12.2,15.2,5.8," Producer Price Index, All Commodities"
BRA,223,Brazil,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,2068.3,2278.9,58.8,6.3,8.1,3.6,16.6,18.1,12.6,16.7,27.6,10.5,5.6,0.8,5.6,13.7,-0.2,5.7,9.4,5.9,5.9,4.6,6.0,3.9,2.6,11.3,29.2,17.8,35.4,14.1,," Producer Price Index, All Commodities"
BTN,514,Bhutan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,1.1,5.2,5.0,-3.5,1.1,10.9,17.7,," Producer Price Index, All Commodities"
CAF,626,Central African Republic,Inflation,Producer Price Inflation,-0.2,5.2,6.2,2.4,19.8,18.8,4.8,7.8,7.6,13.8,16.1,14.7,14.4,8.8,5.9,6.7,3.9,0.7,,,1.6,-1.1,,,,,,,0.0,1.2,6.4,8.9,8.6,3.8,-0.5,2.2,,,,,,,,,,,,,,,,,,," Producer Price Index, All Commodities"
CAN,156,Canada,Inflation,Producer Price Inflation,2.5,1.9,4.5,11.1,19.0,11.4,5.1,7.8,9.2,14.5,13.4,10.2,6.7,3.5,4.5,2.7,0.9,2.8,4.3,2.0,0.3,-1.0,0.5,3.6,6.1,7.4,0.4,0.7,0.4,1.8,4.3,1.0,0.1,-1.2,3.2,1.6,2.3,1.5,4.4,-3.5,1.5,6.9,1.1,0.4,2.5,-0.8,-0.2,3.1,3.9,-0.1,-0.5,13.9,12.8,," Producer Price Index, All Commodities"
CHE,146,Switzerland,Inflation,Producer Price Inflation,3.7,4.0,4.1,8.5,14.0,1.2,-1.0,-0.1,-1.4,1.9,4.5,5.6,3.7,1.1,2.9,2.0,-1.3,-0.7,2.1,3.2,2.3,1.3,0.7,0.4,-0.5,-0.1,-1.8,-0.7,-1.2,-1.0,0.9,0.5,-0.5,-0.7,0.7,1.1,2.0,2.3,3.0,-1.5,-0.2,-1.2,-0.5,0.2,-0.8,-3.6,-1.5,-0.5,1.4,-0.3,-0.6,1.2,3.9,1.9," Producer Price Index, All Commodities"
CHL,228,Chile,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.3,6.7,10.5,5.7,23.0,12.2,-6.6,-3.9,-7.8,-1.2,-0.7,9.7,4.9,1.9,2.3,11.5,24.0,-4.5," Producer Price Index, All Commodities"
CHN,924,China,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-4.3,-2.9,2.7,-1.3,-2.3,2.3,6.1,5.3,3.6,3.3,7.3,-5.1,6.3,6.4,-1.7,-1.9,-1.9,-5.2,-1.0,6.3,3.6,-0.5,-1.8,1.6,8.7,," Producer Price Index, All Commodities"
COG,634,"Congo, Rep.",Inflation,Producer Price Inflation,6.6,0.7,12.8,5.3,15.3,14.0,13.5,,,8.4,14.6,13.3,15.0,7.7,14.5,6.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Producer Price Index, All Commodities"
COL,233,Colombia,Inflation,Producer Price Inflation,8.2,11.5,18.3,28.0,36.0,25.4,22.9,26.7,17.6,27.8,24.2,24.1,25.7,21.7,18.3,24.9,22.0,24.9,28.3,28.2,26.6,27.6,20.1,14.2,17.2,18.1,15.0,15.4,17.3,9.8,13.2,9.4,5.3,9.1,5.2,3.1,4.2,1.0,7.2,1.9,-0.9,8.8,-0.1,-1.3,2.9,3.9,5.4,0.9,5.1,4.3,3.2,8.7,29.6,," Producer Price Index, All Commodities"
CRI,238,Costa Rica,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,18.4,5.2,13.1,23.9,16.0,11.6,8.8,10.1,11.6,8.9,7.7,11.7,16.7,15.3,13.9,13.9,25.4,1.7,3.0,9.5,3.8,2.5,4.5,1.3,-1.1,2.3,3.3,2.6,0.1,2.7,8.9,-2.2," Producer Price Index, All Commodities"
CYP,423,Cyprus,Inflation,Producer Price Inflation,16.0,,,,,,,,,,,,,,,,,,,,-11.2,17.2,,,30.5,,,,,,,2.2,2.2,3.2,4.0,5.2,5.1,3.3,10.9,-1.7,3.7,5.0,6.9,-2.1,-2.8,-5.1,-4.1,3.1,2.3,2.5,-2.5,6.6,22.8,5.0," Producer Price Index, All Commodities"
CZE,935,Czech Republic,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,9.2,2.5,6.2,4.8,4.9,4.8,1.0,4.9,2.8,-0.5,-0.3,5.7,3.0,1.6,4.2,4.2,-3.1,1.2,5.5,2.2,0.8,-0.8,-3.2,-3.3,1.8,2.0,2.6,0.1,5.8,24.3,5.0," Producer Price Index, All Commodities"
DEU,134,Germany,Inflation,Producer Price Inflation,4.9,4.2,2.6,6.6,13.4,4.6,3.7,2.8,1.1,4.8,7.6,7.8,5.9,1.5,2.9,2.4,-2.5,-2.5,1.3,3.2,1.7,2.4,1.4,0.2,0.6,1.7,-1.2,1.2,-0.4,-1.0,4.3,5.7,-1.8,3.0,1.2,3.2,4.0,1.2,4.1,-3.3,1.8,4.1,1.7,-0.2,-0.5,-0.5,-1.2,1.9,1.9,0.9,-0.8,7.5,23.9,-1.0," Producer Price Index, All Commodities"
